Molecule,BindsTo1A2,BindsTo2C9,BindsTo2C19,BindsTo2D6,BindsTo3A4,MissingHeight3Signatures1A2,MissingHeight3Signatures2C9,MissingHeight3Signatures2C19,MissingHeight3Signatures2D6,MissingHeight3Signatures3A4,SensitivityWarning1A2,SensitivityWarning2C9,SensitivityWarning2C19,SensitivityWarning2D6,SensitivityWarning3A4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0
